experiment_type,plot_type,dataset,horizon,seed,metric,value
W1,forest_plot,ETTm1,336,42,rmse_per,3.220167421999671
W1,forest_plot,ETTm1,336,42,rmse_last,3.3006146812169312
W1,forest_plot,ETTm1,336,42,delta_rmse,0.08044725921726004
W1,forest_plot,ETTm1,336,42,delta_rmse_pct,2.4373417374365935
W1,forest_plot,ETTm1,336,42,cka_full_mean_per,0.9447138398260968
W1,forest_plot,ETTm1,336,42,cka_full_mean_last,0.9782238918810632
W1,forest_plot,ETTm1,336,42,delta_cka_global,-0.03351005205496638
W1,forest_plot,ETTm1,336,42,grad_align_mean_per,0.0023325186630174
W1,forest_plot,ETTm1,336,42,grad_align_mean_last,-0.0021567090885838
W1,forest_plot,ETTm1,336,42,delta_grad_align_all,0.0044892277516012
W1,forest_plot,ETTm1,336,2,rmse_per,3.215699759782987
W1,forest_plot,ETTm1,336,2,rmse_last,3.299295847355752
W1,forest_plot,ETTm1,336,2,delta_rmse,0.08359608757276504
W1,forest_plot,ETTm1,336,2,delta_rmse_pct,2.5337554266242543
W1,forest_plot,ETTm1,336,2,cka_full_mean_per,0.951641657609405
W1,forest_plot,ETTm1,336,2,cka_full_mean_last,0.9697845766795902
W1,forest_plot,ETTm1,336,2,delta_cka_global,-0.01814291907018517
W1,forest_plot,ETTm1,336,2,grad_align_mean_per,-0.0023787980302144
W1,forest_plot,ETTm1,336,2,grad_align_mean_last,-0.0041630710677073
W1,forest_plot,ETTm1,336,2,delta_grad_align_all,0.0017842730374928997
W1,forest_plot,ETTm1,336,3,rmse_per,3.2289824566546192
W1,forest_plot,ETTm1,336,3,rmse_last,3.286489318282439
W1,forest_plot,ETTm1,336,3,delta_rmse,0.057506861627819816
W1,forest_plot,ETTm1,336,3,delta_rmse_pct,1.7497960911637356
W1,forest_plot,ETTm1,336,3,cka_full_mean_per,0.964339738068146
W1,forest_plot,ETTm1,336,3,cka_full_mean_last,0.9506685422919938
W1,forest_plot,ETTm1,336,3,delta_cka_global,0.013671195776152167
W1,forest_plot,ETTm1,336,3,grad_align_mean_per,0.0004554103258256
W1,forest_plot,ETTm1,336,3,grad_align_mean_last,-0.0176276180745708
W1,forest_plot,ETTm1,336,3,delta_grad_align_all,0.018083028400396398
W1,forest_plot,ETTm1,336,5,rmse_per,3.224410329922048
W1,forest_plot,ETTm1,336,5,rmse_last,3.313686662124041
W1,forest_plot,ETTm1,336,5,delta_rmse,0.08927633220199294
W1,forest_plot,ETTm1,336,5,delta_rmse_pct,2.694169404199722
W1,forest_plot,ETTm1,336,5,cka_full_mean_per,0.9571290062659868
W1,forest_plot,ETTm1,336,5,cka_full_mean_last,0.9615570239302652
W1,forest_plot,ETTm1,336,5,delta_cka_global,-0.004428017664278361
W1,forest_plot,ETTm1,336,5,grad_align_mean_per,-0.0072760556203179
W1,forest_plot,ETTm1,336,5,grad_align_mean_last,-0.0006229117023282
W1,forest_plot,ETTm1,336,5,delta_grad_align_all,-0.0066531439179897
W1,forest_plot,ETTm1,336,7,rmse_per,3.2266016627560488
W1,forest_plot,ETTm1,336,7,rmse_last,3.30863237414734
W1,forest_plot,ETTm1,336,7,delta_rmse,0.08203071139129126
W1,forest_plot,ETTm1,336,7,delta_rmse_pct,2.4792936209007266
W1,forest_plot,ETTm1,336,7,cka_full_mean_per,0.9425484353456486
W1,forest_plot,ETTm1,336,7,cka_full_mean_last,0.9607907799230888
W1,forest_plot,ETTm1,336,7,delta_cka_global,-0.018242344577440228
W1,forest_plot,ETTm1,336,7,grad_align_mean_per,0.0075170998231699
W1,forest_plot,ETTm1,336,7,grad_align_mean_last,0.0028975697926836
W1,forest_plot,ETTm1,336,7,delta_grad_align_all,0.004619530030486299
W1,forest_plot,ETTm1,336,11,rmse_per,3.221451745782145
W1,forest_plot,ETTm1,336,11,rmse_last,3.2883611733259763
W1,forest_plot,ETTm1,336,11,delta_rmse,0.06690942754383133
W1,forest_plot,ETTm1,336,11,delta_rmse_pct,2.034734751358122
W1,forest_plot,ETTm1,336,11,cka_full_mean_per,0.9569327910999936
W1,forest_plot,ETTm1,336,11,cka_full_mean_last,0.9562812341206576
W1,forest_plot,ETTm1,336,11,delta_cka_global,0.0006515569793360543
W1,forest_plot,ETTm1,336,11,grad_align_mean_per,0.0034868197363834
W1,forest_plot,ETTm1,336,11,grad_align_mean_last,-0.0079838989427577
W1,forest_plot,ETTm1,336,11,delta_grad_align_all,0.011470718679141099
W1,forest_plot,ETTm1,336,13,rmse_per,3.230096318134533
W1,forest_plot,ETTm1,336,13,rmse_last,3.313896172867137
W1,forest_plot,ETTm1,336,13,delta_rmse,0.08379985473260376
W1,forest_plot,ETTm1,336,13,delta_rmse_pct,2.5287411059744005
W1,forest_plot,ETTm1,336,13,cka_full_mean_per,0.9675396880135826
W1,forest_plot,ETTm1,336,13,cka_full_mean_last,0.9512106510219606
W1,forest_plot,ETTm1,336,13,delta_cka_global,0.016329036991622026
W1,forest_plot,ETTm1,336,13,grad_align_mean_per,0.0024981941784228
W1,forest_plot,ETTm1,336,13,grad_align_mean_last,0.0049060463394942
W1,forest_plot,ETTm1,336,13,delta_grad_align_all,-0.0024078521610714
W1,forest_plot,ETTm1,336,17,rmse_per,3.2245932566507363
W1,forest_plot,ETTm1,336,17,rmse_last,3.304752863244328
W1,forest_plot,ETTm1,336,17,delta_rmse,0.08015960659359189
W1,forest_plot,ETTm1,336,17,delta_rmse_pct,2.425585510043191
W1,forest_plot,ETTm1,336,17,cka_full_mean_per,0.9403617194428624
W1,forest_plot,ETTm1,336,17,cka_full_mean_last,0.9680917691011404
W1,forest_plot,ETTm1,336,17,delta_cka_global,-0.027730049658277967
W1,forest_plot,ETTm1,336,17,grad_align_mean_per,-0.000371009946156
W1,forest_plot,ETTm1,336,17,grad_align_mean_last,0.0037436465850085
W1,forest_plot,ETTm1,336,17,delta_grad_align_all,-0.0041146565311645
W1,forest_plot,ETTm1,336,19,rmse_per,3.223365363507928
W1,forest_plot,ETTm1,336,19,rmse_last,3.3088564717765974
W1,forest_plot,ETTm1,336,19,delta_rmse,0.08549110826866935
W1,forest_plot,ETTm1,336,19,delta_rmse_pct,2.5837055489677163
W1,forest_plot,ETTm1,336,19,cka_full_mean_per,0.9553822383862128
W1,forest_plot,ETTm1,336,19,cka_full_mean_last,0.9409727468219524
W1,forest_plot,ETTm1,336,19,delta_cka_global,0.014409491564260413
W1,forest_plot,ETTm1,336,19,grad_align_mean_per,-0.0051336971214199
W1,forest_plot,ETTm1,336,19,grad_align_mean_last,-0.0075736417376937
W1,forest_plot,ETTm1,336,19,delta_grad_align_all,0.0024399446162738005
W1,forest_plot,ETTm1,336,23,rmse_per,3.2239972647851745
W1,forest_plot,ETTm1,336,23,rmse_last,3.3269073694586835
W1,forest_plot,ETTm1,336,23,delta_rmse,0.10291010467350903
W1,forest_plot,ETTm1,336,23,delta_rmse_pct,3.0932663054653484
