experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,ETTh2,grad_align_bar,336,11,last_layer,3,M,0.000208
W1,ETTh2,grad_align_bar,336,11,last_layer,4,D,-0.010033
W1,ETTh2,grad_align_bar,336,11,last_layer,5,D,-0.004868
W1,ETTh2,grad_align_bar,336,11,last_layer,6,D,-0.008629
W1,ETTh2,grad_align_bar,336,13,per_layer,0,S,-0.005829
W1,ETTh2,grad_align_bar,336,13,per_layer,1,S,-0.010994
W1,ETTh2,grad_align_bar,336,13,per_layer,2,M,-0.01233
W1,ETTh2,grad_align_bar,336,13,per_layer,3,M,0.008535
W1,ETTh2,grad_align_bar,336,13,per_layer,4,D,0.012092
W1,ETTh2,grad_align_bar,336,13,per_layer,5,D,-0.01577
W1,ETTh2,grad_align_bar,336,13,per_layer,6,D,-0.002216
W1,ETTh2,grad_align_bar,336,13,last_layer,0,S,-0.002378
W1,ETTh2,grad_align_bar,336,13,last_layer,1,S,0.0024
W1,ETTh2,grad_align_bar,336,13,last_layer,2,M,0.007664
W1,ETTh2,grad_align_bar,336,13,last_layer,3,M,0.001036
W1,ETTh2,grad_align_bar,336,13,last_layer,4,D,0.013147
W1,ETTh2,grad_align_bar,336,13,last_layer,5,D,-0.001777
W1,ETTh2,grad_align_bar,336,13,last_layer,6,D,0.007735
W1,ETTh2,grad_align_bar,336,17,per_layer,0,S,0.004806
W1,ETTh2,grad_align_bar,336,17,per_layer,1,S,-0.00126
W1,ETTh2,grad_align_bar,336,17,per_layer,2,M,0.006684
W1,ETTh2,grad_align_bar,336,17,per_layer,3,M,-0.001559
W1,ETTh2,grad_align_bar,336,17,per_layer,4,D,-0.012063
W1,ETTh2,grad_align_bar,336,17,per_layer,5,D,-0.013098
W1,ETTh2,grad_align_bar,336,17,per_layer,6,D,-0.001178
W1,ETTh2,grad_align_bar,336,17,last_layer,0,S,0.006764
W1,ETTh2,grad_align_bar,336,17,last_layer,1,S,0.001073
