experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,ETTm1,cka_heatmap,96,3,last_layer,0,0,S,S,0.988577
W1,ETTm1,cka_heatmap,96,3,last_layer,0,1,S,S,0.974208
W1,ETTm1,cka_heatmap,96,3,last_layer,0,2,S,M,0.970676
W1,ETTm1,cka_heatmap,96,3,last_layer,0,3,S,M,0.966503
W1,ETTm1,cka_heatmap,96,3,last_layer,0,4,S,D,0.953821
W1,ETTm1,cka_heatmap,96,3,last_layer,0,5,S,D,0.943038
W1,ETTm1,cka_heatmap,96,3,last_layer,0,6,S,D,0.923737
W1,ETTm1,cka_heatmap,96,3,last_layer,1,1,S,S,0.975282
W1,ETTm1,cka_heatmap,96,3,last_layer,1,2,S,M,0.971612
W1,ETTm1,cka_heatmap,96,3,last_layer,1,3,S,M,0.967642
W1,ETTm1,cka_heatmap,96,3,last_layer,1,4,S,D,0.95435
W1,ETTm1,cka_heatmap,96,3,last_layer,1,5,S,D,0.943083
W1,ETTm1,cka_heatmap,96,3,last_layer,1,6,S,D,0.923003
W1,ETTm1,cka_heatmap,96,3,last_layer,2,2,M,M,0.971695
W1,ETTm1,cka_heatmap,96,3,last_layer,2,3,M,M,0.967825
W1,ETTm1,cka_heatmap,96,3,last_layer,2,4,M,D,0.95458
W1,ETTm1,cka_heatmap,96,3,last_layer,2,5,M,D,0.943361
W1,ETTm1,cka_heatmap,96,3,last_layer,2,6,M,D,0.923279
