experiment_type,dataset,plot_type,horizon,seed,mode,model_tag,run_tag,tod,stage,gate_mean,sample_count
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,0,S,0.49855781253427267,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,1,S,0.49855781253427267,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,2,S,0.49855781253427267,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,3,S,0.49855781253427267,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,4,S,0.49855781253427267,138
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,5,S,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,6,S,0.49855781253427267,138
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,7,S,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,8,S,0.49855781253427267,138
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,9,S,0.49855781253427267,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,10,S,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,11,S,0.49855781253427267,69
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,12,S,0.49855781253427267,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,13,S,0.49855781253427267,140
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,14,S,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,15,S,0.49855781253427267,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,16,S,0.49855781253427267,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,17,S,0.49855781253427267,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,18,S,0.49855781253427267,70
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,19,S,0.49855781253427267,139
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,20,S,,0
W3,ETTh2,gate_tod_heatmap,96,42,smooth,HyperConv,W3_ETTh2_96_42_smooth,21,S,0.49855781253427267,69
