experiment_type,dataset,horizon,seed,model_tag,mode,run_tag,window_index,mse
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,309,9.695888
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,310,8.5674515
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,311,7.3384514
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,312,6.4156075
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,313,5.529259
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,314,5.279422
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,315,4.9372973
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,316,4.8284802
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,317,5.009029
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,318,4.974827
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,319,4.7312093
