experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,weather,grad_align_bar,336,13,per_layer,6,D,-0.007381
W1,weather,grad_align_bar,336,13,last_layer,0,S,-0.011196
W1,weather,grad_align_bar,336,13,last_layer,1,S,-0.005195
W1,weather,grad_align_bar,336,13,last_layer,2,M,-0.003941
W1,weather,grad_align_bar,336,13,last_layer,3,M,0.007654
W1,weather,grad_align_bar,336,13,last_layer,4,D,-0.012769
W1,weather,grad_align_bar,336,13,last_layer,5,D,-0.012238
W1,weather,grad_align_bar,336,13,last_layer,6,D,-0.014769
W1,weather,grad_align_bar,336,17,per_layer,0,S,0.006495
W1,weather,grad_align_bar,336,17,per_layer,1,S,-0.005692
W1,weather,grad_align_bar,336,17,per_layer,2,M,-0.005525
W1,weather,grad_align_bar,336,17,per_layer,3,M,0.013167
W1,weather,grad_align_bar,336,17,per_layer,4,D,-0.003774
W1,weather,grad_align_bar,336,17,per_layer,5,D,0.002724
W1,weather,grad_align_bar,336,17,per_layer,6,D,0.004373
W1,weather,grad_align_bar,336,17,last_layer,0,S,-0.013574
W1,weather,grad_align_bar,336,17,last_layer,1,S,0.005266
W1,weather,grad_align_bar,336,17,last_layer,2,M,0.006823
W1,weather,grad_align_bar,336,17,last_layer,3,M,0.000621
W1,weather,grad_align_bar,336,17,last_layer,4,D,-0.011112
W1,weather,grad_align_bar,336,17,last_layer,5,D,-0.010304
W1,weather,grad_align_bar,336,17,last_layer,6,D,0.018559
W1,weather,grad_align_bar,336,19,per_layer,0,S,0.010984
W1,weather,grad_align_bar,336,19,per_layer,1,S,0.008733
W1,weather,grad_align_bar,336,19,per_layer,2,M,-0.021581
W1,weather,grad_align_bar,336,19,per_layer,3,M,0.020303
W1,weather,grad_align_bar,336,19,per_layer,4,D,0.005484
W1,weather,grad_align_bar,336,19,per_layer,5,D,-0.010326
W1,weather,grad_align_bar,336,19,per_layer,6,D,-0.009062
W1,weather,grad_align_bar,336,19,last_layer,0,S,-0.003769
W1,weather,grad_align_bar,336,19,last_layer,1,S,-0.00505
W1,weather,grad_align_bar,336,19,last_layer,2,M,-0.001364
W1,weather,grad_align_bar,336,19,last_layer,3,M,-0.007644
W1,weather,grad_align_bar,336,19,last_layer,4,D,-0.008993
W1,weather,grad_align_bar,336,19,last_layer,5,D,0.02059
W1,weather,grad_align_bar,336,19,last_layer,6,D,0.024807
W1,weather,grad_align_bar,336,23,per_layer,0,S,-0.014191
W1,weather,grad_align_bar,336,23,per_layer,1,S,-0.003968
W1,weather,grad_align_bar,336,23,per_layer,2,M,-0.004601
W1,weather,grad_align_bar,336,23,per_layer,3,M,-0.016489
W1,weather,grad_align_bar,336,23,per_layer,4,D,-0.012195
W1,weather,grad_align_bar,336,23,per_layer,5,D,-0.008665
W1,weather,grad_align_bar,336,23,per_layer,6,D,0.010649
W1,weather,grad_align_bar,336,23,last_layer,0,S,-0.00875
W1,weather,grad_align_bar,336,23,last_layer,1,S,-0.001896
W1,weather,grad_align_bar,336,23,last_layer,2,M,0.001114
W1,weather,grad_align_bar,336,23,last_layer,3,M,7.3e-05
W1,weather,grad_align_bar,336,23,last_layer,4,D,0.020136
W1,weather,grad_align_bar,336,23,last_layer,5,D,-0.033672
