experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,weather,cka_heatmap,96,11,last_layer,2,3,M,M,0.956118
W1,weather,cka_heatmap,96,11,last_layer,2,4,M,D,0.970673
W1,weather,cka_heatmap,96,11,last_layer,2,5,M,D,0.987879
W1,weather,cka_heatmap,96,11,last_layer,2,6,M,D,0.985771
W1,weather,cka_heatmap,96,11,last_layer,3,3,M,M,0.953374
W1,weather,cka_heatmap,96,11,last_layer,3,4,M,D,0.968638
W1,weather,cka_heatmap,96,11,last_layer,3,5,M,D,0.987306
W1,weather,cka_heatmap,96,11,last_layer,3,6,M,D,0.98645
W1,weather,cka_heatmap,96,11,last_layer,4,4,D,D,0.965718
W1,weather,cka_heatmap,96,11,last_layer,4,5,D,D,0.986076
W1,weather,cka_heatmap,96,11,last_layer,4,6,D,D,0.986685
W1,weather,cka_heatmap,96,11,last_layer,5,5,D,D,0.983935
W1,weather,cka_heatmap,96,11,last_layer,5,6,D,D,0.987032
W1,weather,cka_heatmap,96,11,last_layer,6,6,D,D,0.98678
W1,weather,cka_heatmap,96,13,per_layer,0,0,S,S,0.989113
W1,weather,cka_heatmap,96,13,per_layer,0,1,S,S,0.987432
W1,weather,cka_heatmap,96,13,per_layer,0,2,S,M,0.981164
W1,weather,cka_heatmap,96,13,per_layer,0,3,S,M,0.967011
W1,weather,cka_heatmap,96,13,per_layer,0,4,S,D,0.973675
W1,weather,cka_heatmap,96,13,per_layer,0,5,S,D,0.951459
W1,weather,cka_heatmap,96,13,per_layer,0,6,S,D,0.953525
W1,weather,cka_heatmap,96,13,per_layer,1,1,S,S,0.990886
W1,weather,cka_heatmap,96,13,per_layer,1,2,S,M,0.986158
W1,weather,cka_heatmap,96,13,per_layer,1,3,S,M,0.973749
W1,weather,cka_heatmap,96,13,per_layer,1,4,S,D,0.979562
W1,weather,cka_heatmap,96,13,per_layer,1,5,S,D,0.959702
W1,weather,cka_heatmap,96,13,per_layer,1,6,S,D,0.961688
W1,weather,cka_heatmap,96,13,per_layer,2,2,M,M,0.988121
W1,weather,cka_heatmap,96,13,per_layer,2,3,M,M,0.976829
W1,weather,cka_heatmap,96,13,per_layer,2,4,M,D,0.982067
W1,weather,cka_heatmap,96,13,per_layer,2,5,M,D,0.964034
W1,weather,cka_heatmap,96,13,per_layer,2,6,M,D,0.965861
W1,weather,cka_heatmap,96,13,per_layer,3,3,M,M,0.985692
